omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,y_eureffin,geometry,x_eureffin
,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Saukonojan vanha koulu,Saukonoja,,,,31,6715032.5309628,Point (254810.45665305 6715032.5309628),254810.456653047
,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Keppolan aitta,Saukonoja,,,,32,6715952.11006784,Point (254717.84429574 6715952.11006784),254717.844295744
,,Silta,,Lieto,Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,Nautelankosken silta,Nautelankoski,,,,33,6722357.21409557,Point (250972.11285625 6722357.21409557),250972.112856247
,,Silta,,Lieto,Kuuden kunnanosan kierros,Kurkelantien silta,,,,,34,6717944.67061186,Point (250201.2992815 6717944.67061186),250201.299281503
,,Silta,,Lieto,Kuuden kunnanosan kierros,Vääntelänkosken silta,Vääntelänkoski,,,,35,6715440.19748178,Point (248145.76879336 6715440.19748178),248145.768793364
,,Silta,,Lieto,Kuuden kunnanosan kierros,Suomensilta,Yliskulma,,,,36,6719737.17942278,Point (257969.01912777 6719737.17942278),257969.019127767
,,Luonnonnahtavyys,Vanha puu,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Frantsin piiskausmänty,Yliskulma,,,,37,6719927.23079269,Point (257408.60134245 6719927.23079269),257408.601342449
,,Nahtavyys,,Lieto,Hämeen Härkätie,Parmaharju,Parmaharju,,,,38,6718197.992348,Point (255237.81368214 6718197.992348),255237.813682138
,,Nahtavyys,,Lieto,Hämeen Härkätie,Viinamäen hautausmaa,Liedon keskusta,,,,39,6717091.48545878,Point (250923.18614894 6717091.48545878),250923.186148936
,,Nahtavyys,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Pyhän Pietarin kirkko,Liedon keskusta,,,,40,6716666.41874312,Point (250262.4662621 6716666.41874312),250262.466262103
,,Silta,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Teilipolun riippusilta,Liedon keskusta,,,,41,6716170.63050242,Point (250006.44043524 6716170.63050242),250006.440435236
,,Silta,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Lietniemen silta,Sillilä,,,,42,6715031.84914394,Point (248283.73934047 6715031.84914394),248283.739340468
,,Nahtavyys,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Henrik Antinpojan hauta,Loukinainen,,,,43,6714778.0823957,Point (247592.13028129 6714778.0823957),247592.13028129
,,Luonnonnahtavyys,Muinaislinna,Lieto,Vanhalinnan kulttuuri- ja luontopolut,Vanhalinnan Linnavuori,Vanhalinna,,,,44,6714510.88406985,Point (246074.43335198 6714510.88406985),246074.433351976
,,Nahtavyys,,Lieto,Vanhalinnan kulttuuri- ja luontopolut,Viikinkivene Helka,Vanhalinna,,,,45,6714596.07149543,Point (246211.85108344 6714596.07149543),246211.851083442
,,Kahvila,Kahvila Namia,Lieto,Kuuden kunnanosan kierros,Vilkkimäen meijeri,Vilkkimäki,,,,46,6719055.85138483,Point (249078.37354895 6719055.85138483),249078.373548954
Kunta,Kunta / liikuntatoimi,Vesillelasku,,Lieto,Littoistenjärven melontareitti,Järvelän esteetön melontalaituri,Järvelä,Villa Järvelän palvelut,https://www.jarvela.fi/,,47,6711389.44383875,Point (246478.26718269 6711389.44383875),246478.267182695
Kunta,,Rantautuminen,,Lieto,Littoistenjärven melontareitti,Kuoviluodon maihinnousuranta,Kuoviluoto,,,,48,6710614.31714967,Point (247128.83431847 6710614.31714967),247128.83431847
