omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,y_eureffin,geometry,x_eureffin
Kunta,,Nakoala,,Kaarina,,Muikunvuori,,,,,141,6712413.47395709,Point (244960.42002393 6712413.47395709),244960.420023933
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Hovirinnan uimarannan pysäköintialue,,,,,142,6704469.21136136,Point (245390.30906429 6704469.21136136),245390.309064287
Kunta,Kunta / muu,Aktiviteetti,,Kaarina,,Liikenne- ja leikkipuisto,Hovirinnan rantapuisto,,,,143,6704750.97661256,Point (245313.18251202 6704750.97661256),245313.182512017
Kunta,Kunta / muu,Uimaranta,,Kaarina,,Hovirinnan uimaranta,,,,,144,6704413.19609163,Point (245444.77617329 6704413.19609163),245444.776173285
Kunta,Kunta / muu,Rantautuminen,,Kaarina,,Oleskelulaituri,Rauhalinnan luontopolku,,,,145,6704909.48378697,Point (246589.75874858 6704909.48378697),246589.758748583
Muu,Muu,Nahtavyys,,Kaarina,,Mökkigalleria,,,https://mokkigalleria.fi/,,146,6705533.50148605,Point (246545.96881988 6705533.50148605),246545.968819876
Kunta,Kunta / muu,Uimaranta,,Kaarina,,Voivalan uimaranta,,,,,147,6705215.53742233,Point (247491.97946549 6705215.53742233),247491.979465492
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Voivalan uimarannan pysäköintialue,,,,,148,6705243.49420093,Point (247632.00666049 6705243.49420093),247632.006660487
Valtio,Muu,Luonnonnahtavyys,Karpanmäen lehto,Kaarina,,Karpanmäen luonnonsuojelualue,,,,,149,6705479.79438322,Point (248048.10694482 6705479.79438322),248048.106944822
Muu,Muu,Nahtavyys,Ammattiopisto Livia,Kaarina,,Tuorlan kartano,"Ammattiopisto Livia, Tuorla",,,,150,6706422.13482976,Point (248887.9850273 6706422.13482976),248887.985027297
Muu,,Pysakointialue,,Kaarina,,Tuorlan pysäköintialue,,,,,151,6706433.71446207,Point (248942.96220052 6706433.71446207),248942.962200518
Muu,,Opastaulu,Tuorlan alueen opastaulu,Kaarina,,Ammattiopisto Livia,,,,,152,6706458.31019259,Point (248952.65632366 6706458.31019259),248952.656323664
Muu,Yksityinen / yhdistys,Nahtavyys,,Kaarina,,Avaruuspuisto Väisälä,,,https://www.avaruuspuisto.fi/,,153,6706369.17049483,Point (249268.73315396 6706369.17049483),249268.73315396
Muu,,Luonnonnahtavyys,Tuorlan lehtometsä,Kaarina,,Tuorlan luonnonsuojelualueet,,,,,154,6706329.83419502,Point (249336.79931259 6706329.83419502),249336.799312594
Kunta,Kunta / muu,Opastaulu,Luonto- ja historiaopastaulu,Kaarina,,Kuninkaantie/ Suuri rantatie,,,,,155,6706510.92572011,Point (249467.9110678 6706510.92572011),249467.9110678
Kunta,Kunta / muu,Uimaranta,,Kaarina,,Raadelman uimaranta,,,,,156,6705983.53773343,Point (250147.75066293 6705983.53773343),250147.750662929
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Raadelman uimarannan pysäköintialue,,,,,157,6706035.55593366,Point (250362.35388723 6706035.55593366),250362.353887228
Kunta,Kunta / muu,Opastaulu,Opastaulu rautakautinen Hadvala,Kaarina,,,,,,,158,6707142.35010724,Point (252631.78861386 6707142.35010724),252631.788613856
Muu,Muu,Nahtavyys,Piikkiön kirkko,Kaarina,,Piikkiön kirkko,,,,,159,6707234.64259667,Point (253398.56479215 6707234.64259667),253398.564792155
Kunta,Kunta / muu,Opastaulu,Luontopolun infotaulu,Kaarina,,Kaarinan perintömetsän luontopolku,,,,,160,6707549.3467647,Point (244546.62690603 6707549.3467647),244546.626906029
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Kaarinan perintömetsän luontopolku,,,,,161,6706817.36494586,Point (244778.9861854 6706817.36494586),244778.9861854
Kunta,Kunta / muu,Luontotorni,,Kaarina,,Kuusistonlahden lintutorni pohjoinen,,,,,162,6704638.80476924,Point (250318.54080021 6704638.80476924),250318.540800213
Kunta,Kunta / muu,Luontotorni,Lintutorni. HUOM! valmistuu syksyllä 2024,Kaarina,,Piikkiönlahden lintutorni,,,,,163,6706522.80996062,Point (252213.3722449 6706522.80996062),252213.372244901
Kunta,Kunta / muu,Vesillelasku,,Kaarina,Littoistenjärven melontareitti,Ristikallion uimaranta,,,,,164,6710072.13815024,Point (246875.95955143 6710072.13815024),246875.959551431
Kunta,Kunta / muu,Rantautuminen,,Kaarina,Littoistenjärven melontareitti,Littoisten uimaranta,,,,,165,6711351.4775925,Point (245813.69460812 6711351.4775925),245813.694608125
Kunta,Kunta / muu,Vesillelasku,,Kaarina,,Hovirinnan uimaranta,,,,,166,6704418.33500158,Point (245490.76158117 6704418.33500158),245490.761581168
Kunta,Kunta / muu,Rantautuminen,,Kaarina,,Kuuslahden uimapaikka,,,,,167,6703556.18040673,Point (243093.66732178 6703556.18040673),243093.66732178
Muu,,Rantautuminen,,Kaarina,,Villa Wolax,,,,,168,6701629.66531622,Point (242277.22691857 6701629.66531622),242277.226918566
Muu,,Rantautuminen,,Kaarina,,Kavalton tila,,,,,169,6705722.96193987,Point (252250.61439175 6705722.96193987),252250.614391751
Valtio,Muu,Rantautuminen,,Kaarina,,Kuusiston linnanrauniot,,,,,170,6705484.15794369,Point (250804.38675221 6705484.15794369),250804.386752205
Kunta,Kunta / muu,Rantautuminen,,Kaarina,,Raadelman uimaranta,,,,,171,6705960.07192293,Point (250139.88618212 6705960.07192293),250139.886182118
Kunta,Kunta / muu,Rantautuminen,,Kaarina,,Voivalan uimaranta,,,,,172,6705207.5300367,Point (247496.8932304 6705207.5300367),247496.8932304
Valtio,,Vesillelasku,,Kaarina,,Harvaluodon silta,,,,,173,6702478.56945759,Point (251995.36228165 6702478.56945759),251995.362281649
Muu,,Rantautuminen,,Kaarina,,Toivonlinna,,,,,174,6702368.0353506,Point (253802.53318882 6702368.0353506),253802.533188824
Kunta,Kunta / muu,Rantautuminen,,Kaarina,,Harvaluodon virkistysalue,,,,,175,6701059.35596947,Point (252823.58720228 6701059.35596947),252823.587202283
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Littoistenjärven uimarannan pysäköintialue,,,,,176,6711390.24629442,Point (245726.14116143 6711390.24629442),245726.141161434
Kunta,,Pysakointialue,,Kaarina,,Ristikallion uimaranta,,,,,177,6710022.98504603,Point (246886.22002099 6710022.98504603),246886.220020991
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Harvaluodon virkistysalue,,,,,178,6701103.03084543,Point (252736.74513975 6701103.03084543),252736.745139746
Muu,,Rantautuminen,,,,Halistenkoski,,,,,179,6712409.39795051,Point (242053.14729363 6712409.39795051),242053.147293634
Kunta,Kunta / muu,Rantautuminen,,Kaarina,,Oleskelulaituri,Jukolanranta,,,,180,6704473.46219963,Point (246323.1268257 6704473.46219963),246323.126825704
Kunta,,Pysakointialue,,,,"Aurajoen melontakeskus, Myllärintalo",,,,,181,6712421.12724588,Point (241977.02469801 6712421.12724588),241977.024698013
Valtio,,Pysakointialue,,Paimio,,Maantie 110 levähdysalue,,,,,182,6706282.37704509,Point (260708.81885858 6706282.37704509),260708.818858581
Muu,,Pysakointialue,,Sauvo,,Sarapiston pysäköintialue,,,,,183,6687191.00148592,Point (264457.26843749 6687191.00148592),264457.268437493
Kunta,,Pysakointialue,,Sauvo,,Karunan kalliorannan pysäköintialue,,,,,184,6690359.94830921,Point (255857.27830588 6690359.94830921),255857.278305882
Kunta,,Rantautuminen,,Sauvo,,Marjaniemen leirikeskus,,,,,185,6691677.42210344,Point (271675.90793834 6691677.42210344),271675.907938341
Muu,,Rantautuminen,,Sauvo,,Sarapisto,,,,,186,6686984.47893139,Point (264568.66425475 6686984.47893139),264568.664254753
Kunta,,Rantautuminen,,Sauvo,,Karunan Kallioranta,,,,,187,6690327.28164703,Point (255690.43975252 6690327.28164703),255690.439752525
Muu,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,Nautelankoski,Nautelankoski,,,,188,6722371.31654109,Point (250963.85587462 6722371.31654109),250963.855874624
Kunta,,Nahtavyys,,,,"Halistenkoski, Aurajoen opastuskeskus",,,,,189,6712396.58048775,Point (242064.94531775 6712396.58048775),242064.945317751
Kunta,,Nakoala,,Sauvo,,Kirveskallio,,,,,190,6698423.26863886,Point (262477.80542509 6698423.26863886),262477.805425086
Muu,,Nahtavyys,,Sauvo,,Sauvon Kädet ry kesänäyttely,,,,,191,6690785.7830703,Point (255785.88064602 6690785.7830703),255785.880646019
Kunta,,Nahtavyys,Rautakautinen asuinpaikka ja kuppikallio. Eväspöytä ja penkit,Sauvo,,Timperin kuppikallio,,,,,192,6697443.41289846,Point (261892.83154807 6697443.41289846),261892.831548073
Muu,,Nahtavyys,Ei opastaulua,Sauvo,,Rautakautinen asuinpaikka,,,,,193,6697153.86552717,Point (263213.18715826 6697153.86552717),263213.187158263
Muu,,Nahtavyys,,Sauvo,,Sauvon kirkko,,,,,194,6697309.37369247,Point (262697.31485026 6697309.37369247),262697.314850256
Kunta,,Nahtavyys,,Sauvo,,Sauvon tori,,,,,195,6697417.7653606,Point (262469.47113969 6697417.7653606),262469.471139689
Kunta,,Nahtavyys,,Sauvo,,Sauvon kirjasto,,,,,196,6697523.94495388,Point (262529.19716091 6697523.94495388),262529.19716091
Muu,,Nahtavyys,,Sauvo,,1930 -luvun funkkistalo,,,,,197,6697448.73440865,Point (262493.80396315 6697448.73440865),262493.803963146
Kunta,Kunta / muu,Nahtavyys,Muinaisjäännösalue,Kaarina,,Huttalan linnavuori,,,,,198,6706785.76519961,Point (255184.38158637 6706785.76519961),255184.381586365
Kunta,Kunta / muu,Nahtavyys,Muinaisjäännösalue,Kaarina,,Pronssikautinen hautaröykkiö,,,,,199,6706736.27201732,Point (255903.07836001 6706736.27201732),255903.078360012
Muu,Muu,Nahtavyys,muinaisjäännösalue,Kaarina,,Pohtionvuoren pronssikautinen hautaröykkiö,,,,,200,6707302.30672169,Point (255790.15025396 6707302.30672169),255790.150253961
Muu,Muu,Luonnonnahtavyys,,Kaarina,,Muinaisranta,,,,,201,6707169.86017756,Point (255908.6550566 6707169.86017756),255908.6550566
Valtio,Muu,Nahtavyys,"Ylläpitäjä Metsähallitus, https://www.luontoon.fi/kuusisto",Kaarina,,Kuusiston piispanlinnan rauniot,,,https://tammireitit.fi/kuusistonlinnanrauniot,,202,6705394.47687018,Point (250835.66150335 6705394.47687018),250835.661503351
Muu,,Nakoala,,Sauvo,,Hiirmetsän näköalapaikka,,,,,203,6696505.89340732,Point (262514.87309906 6696505.89340732),262514.873099055
Muu,,Nakoala,,Sauvo,,Haarakallion näköalapaikka,,,,,204,6696493.49032214,Point (262477.89353025 6696493.49032214),262477.893530252
Muu,,Nahtavyys,,Sauvo,,Rantakallion muinaisranta,,,,,205,6688020.87905788,Point (256584.14990714 6688020.87905788),256584.149907142
Muu,,Nakoala,,Sauvo,,Näköala Maalunlahdelle,,,,,206,6688068.73701509,Point (256327.52574291 6688068.73701509),256327.525742906
Muu,,Nahtavyys,,Sauvo,,Haaviston myllypato,,,,,207,6697557.07616435,Point (263863.81136989 6697557.07616435),263863.811369885
Muu,,Nahtavyys,,Sauvo,,Rautakautinen hautaröykkiö,,,,,208,6697251.85110121,Point (263484.11727048 6697251.85110121),263484.11727048
Kunta,,Nakoala,,Paimio,,Näköala Vähäjokilaaksoon,,,,,209,6710547.70791155,Point (263233.06860884 6710547.70791155),263233.068608843
Muu,,Nahtavyys,,Kaarina,,Vaarniemen rälssitila,,,,,210,6705509.52194786,Point (240365.55540977 6705509.52194786),240365.555409774
,,Nahtavyys,,Kaarina,,Pronssikautinen hautaröykkiö,,,,,211,6705285.25507352,Point (240990.11039559 6705285.25507352),240990.110395595
Muu,,Nahtavyys,,Kaarina,,Ala-Lemun kartano,,,,,212,6703859.02586605,Point (241413.99600821 6703859.02586605),241413.996008214
Kunta,Kunta / muu,Nahtavyys,,Kaarina,,Lemun taistelun muistomerkki,,,,,213,6704250.16039927,Point (242023.48538374 6704250.16039927),242023.48538374
Muu,,Nahtavyys,Huom! yksityisomistuksessa,Kaarina,,Yli-Lemun kartano,,,,,214,6704367.59361252,Point (242132.71310227 6704367.59361252),242132.713102272
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Rauvolantie,,,,,215,6705682.61257101,Point (240879.30357022 6705682.61257101),240879.303570221
Kunta,,Luontotorni,,Kaarina,,Vaarniemen näkötorni,,,,,216,6705169.89624097,Point (240510.70505309 6705169.89624097),240510.705053089
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Kasarminmäki,,,,,217,6704401.79487821,Point (241771.88604103 6704401.79487821),241771.88604103
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Nunnan luontopolku,,,,,218,6709959.11668055,Point (249001.26076663 6709959.11668055),249001.26076663
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Pontelan yhdysreitti,,,,,219,6706740.69595704,Point (253720.48666894 6706740.69595704),253720.48666894
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,,,,,,220,6703955.77960199,Point (246360.67157311 6703955.77960199),246360.67157311
Kunta,,Opastaulu,,Kaarina,,Vähäsillan paja,,,,,221,6710495.29449881,Point (262653.16206154 6710495.29449881),262653.162061537
Kunta,,Opastaulu,,Kaarina,,Tiilitehdas,,,,,222,6710631.22389233,Point (263090.38947741 6710631.22389233),263090.38947741
Kunta,,Opastaulu,,Kaarina,,Kohiseva ja Vähäjoen luontoa,,,,,223,6710132.10204837,Point (263558.73263312 6710132.10204837),263558.732633119
Muu,,Opastaulu,,Paimio,,Oinilan jokipolku,,,,,224,6711949.1703603,Point (262822.78090892 6711949.1703603),262822.780908916
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,"Kuusiston koulupolku, Empon koulu",,,,,225,6703782.44181615,Point (245900.99281395 6703782.44181615),245900.992813947
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,"Kuusiston koulupolku, Kuusiston koulu",,,,,226,6703161.07706398,Point (246664.0914306 6703161.07706398),246664.091430602
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Tuorla,,,,,227,6706452.92046019,Point (248954.45381478 6706452.92046019),248954.453814778
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Hovirinnan rantapuisto,,,,,228,6704555.64569836,Point (245385.02016694 6704555.64569836),245385.020166944
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Kuusiston linnanrauniot ja kappelinmäen luontopolku,,,,,229,6704963.55175571,Point (250095.0544225 6704963.55175571),250095.054422503
Kunta,,Opastaulu,,Sauvo,,Peimari-Areena,,,,,230,6698214.1452887,Point (262372.81276992 6698214.1452887),262372.812769919
Valtio,Muu,Opastaulu,,Kaarina,,Kuusiston linnanrauniot,,,,,231,6705325.52578476,Point (250809.30993245 6705325.52578476),250809.309932454
Valtio,,Opastaulu,,Sauvo,,Sauvon keskusta,,,,,232,6697362.49942276,Point (261985.58748209 6697362.49942276),261985.587482095
Muu,,Opastaulu,,Sauvo,,Rantola,,,,,233,6690793.61990087,Point (255722.81367528 6690793.61990087),255722.813675277
Kunta,,Opastaulu,,Sauvo,,,Sauvon tori,,,,234,6697409.05006145,Point (262474.67146527 6697409.05006145),262474.67146527
Kunta,,Opastaulu,,Sauvo,,Marjaniemi,,,,,235,6691766.74991932,Point (271582.07218042 6691766.74991932),271582.072180415
Muu,,Opastaulu,,Sauvo,,Sarapisto,,,,,236,6687052.43978234,Point (264568.84565281 6687052.43978234),264568.845652808
Kunta,,Opastaulu,,Sauvo,,Karunan Kallioranta,,,,,237,6690347.9705069,Point (255834.41051894 6690347.9705069),255834.410518941
Muu,,Opastaulu,,Sauvo,,Hiirmetsän tonttupolku,,,,,238,6696504.54436938,Point (262625.16126418 6696504.54436938),262625.161264182
Muu,,Opastaulu,,Sauvo,,Maalun pirunpellonpolku,,,,,239,6688161.60187343,Point (256980.94670403 6688161.60187343),256980.946704028
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Littoistenjärven uimaranta,,,,,240,6711453.03517543,Point (245908.48810925 6711453.03517543),245908.48810925
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Piikkiön kehityksen pysäköintipaikka,,,,,241,6707051.27932684,Point (254614.66665278 6707051.27932684),254614.666652782
Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Piikkiön linnavuoren reitistö,,,,,242,6706694.39109684,Point (255621.65168118 6706694.39109684),255621.651681185
Muu,Muu,Kahvila,"Ravintola, puoti",Kaarina,,Tuorlan majatalo,,,https://tuorlanmajatalo.fi/,,243,6706446.16144203,Point (248986.69921819 6706446.16144203),248986.699218186
Kunta,,Nahtavyys,"Museo, puot",Sauvo,,Sauvon kotiseutumuseo,,,,,244,6697840.25447332,Point (261944.76390231 6697840.25447332),261944.763902309
Muu,,Kahvila,,Sauvo,,Kesäkahvila,,,,,245,6697831.52320386,Point (261944.23325711 6697831.52320386),261944.233257114
Muu,,Nahtavyys,,Sauvo,,Karunan kirkko,,,,,246,6689700.5928378,Point (253644.89585323 6689700.5928378),253644.895853234
Muu,,Tilamyynti,,Sauvo,,Hännilän tila,,"suoramyynti, majoituspalvelu, hevostila",http://www.hannilantila.fi/,,247,6692053.97519713,Point (254599.39114392 6692053.97519713),254599.391143923
Muu,,Kahvila,"Kauppa, ravintola, majoitus",Sauvo,,Rantolan puoti,,"kauppa, ravintola, majoitus",,,248,6690806.95800333,Point (255697.97572537 6690806.95800333),255697.975725368
Kunta,,Uimaranta,,Sauvo,,Rantolan uimaranta,,,,,249,6690796.47019176,Point (255874.22638979 6690796.47019176),255874.22638979
Muu,,Majoitus,"Ravintola, majoitus, ohjelmat",Kaarina,,Villa Volax,,,https://www.villawolax.fi/,,250,6701755.66968188,Point (242201.46782934 6701755.66968188),242201.467829342
Muu,,Majoitus,"Majoitus, saunat, kokous, juhlat, pitopalvelut",Kaarina,,Kavalton tila,,,https://www.kavaltontila.com/,,251,6705573.09729633,Point (252856.0056091 6705573.09729633),252856.005609102
Muu,,Kahvila,Tapahtuma- ja tilausravintola,Sauvo,,Kalle's Backa 55,,,http://www.tappers.fi/index.php/kalles-backa-55,,252,6696628.22057783,Point (262938.00792807 6696628.22057783),262938.007928073
Muu,,Tilamyynti,Hereford lihapuoti,Sauvo,,Salmensuun tila,,suoramyynti: herefordin liha,https://www.salmensuu.com/,,253,6694575.56448367,Point (259047.97847522 6694575.56448367),259047.978475225
Muu,,Tilamyynti,"Luomutila, tilapuoti",Sauvo,,Wanha liesniemi,,suoramyynti: luomuvihannekset ja -marjat,,,254,6693720.86966009,Point (261727.75615922 6693720.86966009),261727.75615922
Valtio,Muu,Nahtavyys,,Kaarina,,Kuusiston taidekartano,,,https://kuusistontaidekartano.fi/kotisivu/fi/,,255,6704988.42587306,Point (250354.71158635 6704988.42587306),250354.71158635
Muu,,Tilamyynti,Paikallisia käsitöitä,Sauvo,,Puuhaus,,,,,256,6697364.20486772,Point (261829.87615668 6697364.20486772),261829.876156684
Muu,,Nahtavyys,,Paimio,,"Finnfoam paippi, hiihtoputki",,,http://www.paippi.com/,,257,6706426.27568367,Point (264290.93956681 6706426.27568367),264290.939566806
Valtio,Muu,Pysakointi_liikeste,Pysäköinti vain liikuntaesteisille,Kaarina,,Kuusiston linnanrauniot,,,,,258,6705311.6934903,Point (250797.43372004 6705311.6934903),250797.433720036
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Piikkiön linnavuoren reitistö,,,,,259,6706684.68757383,Point (255622.50081258 6706684.68757383),255622.500812584
Muu,Muu,Pysakointialue,,Kaarina,,Piikkiön kehityksen pysäköintialue,,,,,260,6707068.08546471,Point (254619.04396907 6707068.08546471),254619.043969072
Valtio,Muu,Pysakointialue,,Kaarina,,Kuusiston linnanrauniot ja Kappelinmäen luontopolku,,,,,261,6704949.9569,Point (250073.1729 6704949.9569),250073.172900005
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Nunnan pysäköintialue,,,,,262,6709936.89063906,Point (248985.05755295 6709936.89063906),248985.057552946
Muu,,Pysakointialue,,Sauvo,,Hiirmetsän tonttupolku,,,,,263,6696511.87480406,Point (262624.27659656 6696511.87480406),262624.276596564
Kunta,,Pysakointialue,,Sauvo,,Maalun pysäköintialue,,,,,264,6688171.25199415,Point (256985.11729051 6688171.25199415),256985.117290512
Muu,,Pysakointialue,,Sauvo,,Sauvon kirkon pysäköintialue,,,,,265,6697313.79784219,Point (262633.71769804 6697313.79784219),262633.717698039
Muu,,Pysakointialue,,Sauvo,,Sauvon kirkon pysäköintialue,,,,,266,6697270.66238242,Point (262774.460961 6697270.66238242),262774.460961005
Kunta,,Pysakointialue,,Paimio,,Vähäjokipolun pysäköintialue,,,,,267,6710091.57573825,Point (263623.43569368 6710091.57573825),263623.435693684
Kunta,,Pysakointialue,Paimion polun lähtöpisteen läheisyydessä,Paimio,,Paimion urheilupuisto,,,,,268,6709030.48812757,Point (263415.06994479 6709030.48812757),263415.069944795
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Rauvola,,,,,269,6705689.87796075,Point (240834.68138793 6705689.87796075),240834.681387931
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Kasarminmäki länsi,,,,,270,6704393.05841005,Point (241774.69562624 6704393.05841005),241774.695626243
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Kasarminmäki itä,,,,,271,6704150.0600938,Point (242036.12087796 6704150.0600938),242036.120877957
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Piispanlähteen yläkoulu,,,,,272,6705831.986938,Point (242371.27349238 6705831.986938),242371.273492377
Kunta,,Polttopuuvarasto,,Kaarina,,Polttopuuvarasto,,,,,273,6705314.87507251,Point (240448.36880765 6705314.87507251),240448.36880765
Kunta,,Tulipaikka,,Kaarina,,Laavu,,,,,274,6705105.87007867,Point (240545.97659276 6705105.87007867),240545.976592762
Kunta,,Taukopaikka,,Kaarina,,Taukopaikka,,,,,275,6705196.97246699,Point (240734.01277559 6705196.97246699),240734.012775592
Kunta,Kunta / muu,Luontotorni,Lintutorni,Kaarina,,Rauvolan lintutorni,,,,,276,6705896.65160209,Point (240386.12632855 6705896.65160209),240386.126328549
Kunta,Kunta / muu,Taukopaikka,,Kaarina,,Taukopaikka,,,,,277,6703903.40518447,Point (240785.82954189 6703903.40518447),240785.829541888
Kunta,Kunta / muu,Tulipaikka,,Kaarina,,,,,,,278,6705166.16567945,Point (242345.32673691 6705166.16567945),242345.326736915
Kunta,Kunta / muu,Polttopuuvarasto,,Kaarina,,Polttopuuvarasto,,,,,279,6705279.65829296,Point (242157.10893536 6705279.65829296),242157.108935363
Kunta,,Kuivakaymala,,Kaarina,,,,,,,280,6705123.11168246,Point (240549.88226769 6705123.11168246),240549.882267688
Muu,,Tilamyynti,,Paimio,,Alanteen tilamyynti,,,https://alanteentila.fi/,,281,6718805.74388937,Point (264059.87915898 6718805.74388937),264059.879158977
Muu,,Tilamyynti,suoramyynti: vihannekset,Sauvo,,Kamparsin luomutila,,suoramyynti: vihannekset,,,282,6690893.06000963,Point (255640.07539109 6690893.06000963),255640.075391093
Kunta,,Uimaranta,,Sauvo,,Marjaniemi,,,,,283,6691663.1332175,Point (271654.46212396 6691663.1332175),271654.462123955
Muu,,Uimaranta,,Sauvo,,Sarapisto,,,,,284,6686999.1390095,Point (264559.53237093 6686999.1390095),264559.532370925
Muu,,Tilamyynti,suoramyynti: vihanneksia ja marjoja,Sauvo,,Alholan tilapuoti,,suoramyynti: vihanneksia ja marjoja,,,285,6689058.01598292,Point (265230.48114331 6689058.01598292),265230.481143308
Muu,,Tilamyynti,,Sauvo,,Kankaanrannan puutarha,,"kukkakauppa, marjoja, vihanneksi",,,286,6697666.47358969,Point (261884.22987407 6697666.47358969),261884.229874071
Muu,,Tilamyynti,suoramyynti,Sauvo,,Niemelän tila,,suoramyynti: marjoja ja kasviksia,,,287,6693580.02224126,Point (269487.92215654 6693580.02224126),269487.922156537
Muu,,Tilamyynti,suoramyynti: kukat ja taimet,Sauvo,,Salmin puutarha,,suoramyynti: kukat ja taimet,,,288,6694891.62468587,Point (263647.4513807 6694891.62468587),263647.4513807
Muu,,Tilamyynti,"sauvolaisia vihanneksi ja marjoja, savulohta",Sauvo,,Sauvon RajaPuoti,,"sauvolaisia vihanneksi ja marjoja, savulohta",,,289,6700508.77138333,Point (261430.78720124 6700508.77138333),261430.787201243
Muu,,Tilamyynti,mansikan suoramyynti,Sauvo,,Uotkullan tila,,mansikan suoramyynti,,,290,6694768.82396025,Point (259258.15643342 6694768.82396025),259258.156433424
Muu,,Tilamyynti,suoramyynti: puutarhakasvikset,Sauvo,,Peuravaaran puutarha,,suoramyynti,,,291,6694406.92935853,Point (262513.20382764 6694406.92935853),262513.20382764
Kunta,,Portaat,Maastoportaat,Kaarina,,Portaat,,,,,292,6705302.11317357,Point (240461.75235451 6705302.11317357),240461.752354507
Kunta,Kunta / muu,Laavu,,Kaarina,,,,,,,293,6705105.43407191,Point (240536.53174506 6705105.43407191),240536.531745064
Kunta,Kunta / muu,Opastaulu,Luontotaulu,Kaarina,,,,,,,294,6704582.50970729,Point (242121.59366287 6704582.50970729),242121.593662871
Kunta,Kunta / muu,Vesillelasku,,Kaarina,,,Kuuslahden uimapaikka,,,,295,6703576.79286315,Point (243107.06751203 6703576.79286315),243107.067512028
Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Kuuslahden uimapaikka,,,,,296,6703475.28280084,Point (243081.33589158 6703475.28280084),243081.335891583
Kunta,Kunta / muu,Uimaranta,,Kaarina,,Kuuslahden uimapaikka,,,,,297,6703566.1697171,Point (243105.41502264 6703566.1697171),243105.415022639
Kunta,Kunta / muu,Uimaranta,,Kaarina,,Harvaluodon uimaranta,,,,,298,6701112.93118784,Point (252820.63619594 6701112.93118784),252820.636195938
Kunta,Kunta / muu,Tulipaikka,Grillikatos,Kaarina,,Harvaluodon virkistysalue,,,,,299,6701111.9869082,Point (252752.41199127 6701111.9869082),252752.411991268
Valtio,Muu,Nahtavyys,,Kaarina,,Kuusiston Piispanlinnan vierailukeskus,,,http://ohjelmapalvelucastrum.net/,,300,6705333.82187587,Point (250797.04490718 6705333.82187587),250797.044907178
Valtio,Muu,Kuivakaymala,"Esteetön sähköwc, avoinna kesäkaudella",Kaarina,,,,,https://www.luontoon.fi/kuusisto,,301,6705357.82231696,Point (250759.19503123 6705357.82231696),250759.195031235
Kunta,Kunta / liikuntatoimi,Aktiviteetti,Frisbeegolfrata,Kaarina,,,,,,,302,6701072.56906291,Point (252683.85845397 6701072.56906291),252683.858453973
Kunta,Kunta / muu,Vesillelasku,,Kaarina,,,Raadelman uimaranta,,,,303,6705958.29528332,Point (250144.6088729 6705958.29528332),250144.608872904
Kunta,Kunta / muu,Rantautuminen,,Kaarina,,Hovirinnan uimaranta,,,,,304,6704420.7282279,Point (245502.20369988 6704420.7282279),245502.20369988
Kunta,Kunta / muu,Tulipaikka,Grillikatos,Kaarina,,Kuuslahden uimapaikka,,,,,305,6703598.34225788,Point (243117.86261238 6703598.34225788),243117.862612379
Muu,Muu,Nahtavyys,,Kaarina,,Kuusiston kirkko,,,,,306,6702732.68263283,Point (247139.14161616 6702732.68263283),247139.141616164
Kunta,Kunta / muu,Aktiviteetti,,Kaarina,,BMX -rata,,,,,307,6703913.38192751,Point (245994.62805027 6703913.38192751),245994.628050268
