source_id,kohde,tyyppi,kunta,lisatieto,palvelut,linkki,lipas_type_name,lipas_type_code,lipas_loi_type,omistaja,yllapitaja,sijainti,x_eureffin,y_eureffin,geometry
33,Nautelankosken silta,Silta,Lieto,Reitti: Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,,,,,bridge,,,Nautelankoski,250972.112856247,6722357.21409557,Point (250972.11285625 6722357.21409557)
34,Kurkelantien silta,Silta,Lieto,Reitti: Kuuden kunnanosan kierros,,,,,bridge,,,,250201.299281503,6717944.67061186,Point (250201.2992815 6717944.67061186)
35,Vääntelänkosken silta,Silta,Lieto,Reitti: Kuuden kunnanosan kierros,,,,,bridge,,,Vääntelänkoski,248145.768793364,6715440.19748178,Point (248145.76879336 6715440.19748178)
36,Suomensilta,Silta,Lieto,Reitti: Kuuden kunnanosan kierros,,,,,bridge,,,Yliskulma,257969.019127767,6719737.17942278,Point (257969.01912777 6719737.17942278)
37,Frantsin piiskausmänty,Luonnonnahtavyys,Lieto,Vanha puu Reitti: Hämeen Härkätie / Kuuden kunnanosan kierros,,,,,natural-attraction,,,Yliskulma,257408.601342449,6719927.23079269,Point (257408.60134245 6719927.23079269)
38,Parmaharju,Nahtavyys,Lieto,Reitti: Hämeen Härkätie,,,,,building,,,Parmaharju,255237.813682138,6718197.992348,Point (255237.81368214 6718197.992348)
39,Viinamäen hautausmaa,Nahtavyys,Lieto,Reitti: Hämeen Härkätie,,,,,building,,,Liedon keskusta,250923.186148936,6717091.48545878,Point (250923.18614894 6717091.48545878)
40,Pyhän Pietarin kirkko,Nahtavyys,Lieto,Reitti: Hämeen Härkätie / Kuuden kunnanosan kierros,,,,,building,,,Liedon keskusta,250262.466262103,6716666.41874312,Point (250262.4662621 6716666.41874312)
41,Teilipolun riippusilta,Silta,Lieto,Reitti: Hämeen Härkätie / Kuuden kunnanosan kierros,,,,,bridge,,,Liedon keskusta,250006.440435236,6716170.63050242,Point (250006.44043524 6716170.63050242)
42,Lietniemen silta,Silta,Lieto,Reitti: Hämeen Härkätie / Kuuden kunnanosan kierros,,,,,bridge,,,Sillilä,248283.739340468,6715031.84914394,Point (248283.73934047 6715031.84914394)
43,Henrik Antinpojan hauta,Nahtavyys,Lieto,Reitti: Hämeen Härkätie / Kuuden kunnanosan kierros,,,,,building,,,Loukinainen,247592.13028129,6714778.0823957,Point (247592.13028129 6714778.0823957)
44,Vanhalinnan Linnavuori,Luonnonnahtavyys,Lieto,Muinaislinna Reitti: Vanhalinnan kulttuuri- ja luontopolut,,,,,natural-attraction,,,Vanhalinna,246074.433351976,6714510.88406985,Point (246074.43335198 6714510.88406985)
45,Viikinkivene Helka,Nahtavyys,Lieto,Reitti: Vanhalinnan kulttuuri- ja luontopolut,,,,,building,,,Vanhalinna,246211.851083442,6714596.07149543,Point (246211.85108344 6714596.07149543)
48,Kuoviluodon maihinnousuranta,Rantautuminen,Lieto,Reitti: Littoistenjärven melontareitti,,,Rantautumispaikka,205.0,,Kunta,,Kuoviluoto,247128.83431847,6710614.31714967,Point (247128.83431847 6710614.31714967)
49,,Vesillelasku,Paimio,Reitti: Paimionjoen melontareitti,,,,,boat-ramp,Kunta,Kunta / tekninen toimi,Jokipuisto,262289.501858736,6710151.78280445,Point (262289.50185874 6710151.78280445)
50,,Rantautuminen,Paimio,Reitti: Paimionjoen melontareitti,,,Rantautumispaikka,205.0,,Kunta,Kunta / tekninen toimi,,262289.982757526,6710151.72668158,Point (262289.98275753 6710151.72668158)
51,,Rantautuminen,Paimio,,,,Rantautumispaikka,205.0,,Kunta,,,261233.859752685,6707601.58623433,Point (261233.85975268 6707601.58623433)
52,,Rantautuminen,Paimio,,,,Rantautumispaikka,205.0,,Valtio,Kunta / tekninen toimi,,260780.091809026,6706260.27166146,Point (260780.09180903 6706260.27166146)
53,,Rantautuminen,Paimio,Paimion seurakunnan leirikeskus,,,Rantautumispaikka,205.0,,Muu,Muu,,257956.293572421,6702388.47091624,Point (257956.29357242 6702388.47091624)
54,,Vesillelasku,Paimio,,,,,,boat-ramp,Kunta,,,261242.721873612,6707600.43114087,Point (261242.72187361 6707600.43114087)
55,,Rantautuminen,Paimio,,,,Rantautumispaikka,205.0,,Kunta,Muu,,262660.779321978,6711449.32243474,Point (262660.77932198 6711449.32243474)
56,,Tulipaikka,Paimio,,,,,,fire-pit,Kunta,Muu,,262665.388670825,6711449.14463086,Point (262665.38867082 6711449.14463086)
57,Parantolan polun ja Preitilän reitin lähtöpiste,Opastaulu,Paimio,Parantolan polku on pituudeltaan hieman yli 2 km ja viitoitettu selkein opastein. Polkua ylläpitää Parantolan metsät ry.Polu on osa Preitilän reittiä.,,,,,information-board,Muu,Yksityinen / yhdistys,,265703.591950578,6710597.13340821,Point (265703.59195058 6710597.13340821)
58,,Nahtavyys,Paimio,Parantolan metsän kunniataulu,,,,,historical-structure,Muu,Yksityinen / yhdistys,,265773.456611038,6710569.26875145,Point (265773.45661104 6710569.26875145)
59,Lemmenlampi,Nahtavyys,Sauvo,Lemmenlammella näet Alvar Aallon suunnitteleman pumppaamon ja padon. Itse lampi on nykyisin tyhjä padon vuodettua.,,,,,natural-attraction,Muu,Yksityinen / yhdistys,,265929.334037556,6710369.74501451,Point (265929.33403756 6710369.74501451)
60,Parantolan metsän laavu,Tulipaikka,Paimio,,,,,,fire-pit,Muu,Yksityinen / yhdistys,,266118.536413384,6711027.1440823,Point (266118.53641338 6711027.1440823)
